number,directory_num,language_num,file_type,has_test,has_feature,has_bug,has_document,has_improve,has_refactor,subject_length,subject_readability,message_length,message_readability,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,modify_proportion,modify_entropy,test_churn,non_test_churn,reviewer_num,bot_reviewer_num,has_reviewed,comment_num,comment_length,last_comment_mention,merged,time_to_close
2,0.0013280212483399,0.0,0.0,0,0,0,0,0,0,0.1857923497267759,0.1623907064570419,0.0053752849463878,0.0226935397624199,9.795614503386834e-06,0.0,0.0008771929824561,0.0,0.0004484304932735,0.0,0.0,0.0018975332068311,0.0019908781795335,0.9995794168431256,0.0,8.134725516283912e-06,0.0625,0.0,1,0.0333333333333333,0.0001978742650384,0,1,27943.0
3,0.0013280212483399,0.0,0.0,0,0,0,0,0,0,0.1584699453551912,0.1686712368129387,0.0028705710184898,0.0231583050559467,9.795614503386834e-07,1.194770251654458e-06,0.000438596491228,0.000451875282422,0.0004484304932735,0.0,0.0,0.0018975332068311,0.0019908781795335,0.9995794168431256,0.0,9.038583906982124e-07,0.0,0.0,0,0.0,0.0,0,1,3218.0
9,0.0203629924745462,0.0,0.0384615384615384,1,0,0,0,0,0,0.2240437158469945,0.2875908213948523,0.0083865702304899,0.0230033832914378,0.0003105209797573,0.0006559288681582,0.0421052631578947,0.0456394035246272,0.0441704035874439,0.0,0.0,0.0189753320683111,0.0018263658651631,0.9995927276717316,0.0,0.0008523384624284,0.0,0.0,0,0.0,0.0,0,1,15695.0
10,0.0053120849933598,0.0,0.0769230769230769,1,0,0,0,0,0,0.1475409836065573,0.1734329461023767,0.002504713927898,0.0232982343916322,3.918245801354734e-06,0.0,0.0017543859649122,0.0,0.000896860986547,0.0,0.0,0.0075901328273244,0.0019908781795335,0.9995931633470968,0.0,2.711575172094637e-06,0.125,0.0,1,0.0666666666666666,0.0015617933061962,0,1,168160.0
11,0.0163789287295263,0.0,0.0769230769230769,1,0,0,0,0,0,0.2295081967213114,0.2353351668650711,0.0067824276025103,0.0264966192073003,0.001587869110999,0.0,0.0,0.0,0.0,0.086021505376344,0.0,0.0018975332068311,0.0019908781795335,0.9995987072616632,0.0,0.0014642505929311,0.0,0.0,0,0.0,0.0,0,1,128503.0
14,0.0101814962372731,0.0,0.0384615384615384,0,0,0,0,0,0,0.4863387978142076,0.201592709658881,0.0065854276306531,0.0237729946377079,2.4489036258467087e-05,2.509017528474362e-05,0.006578947368421,0.0054225033890646,0.0060538116591928,0.0,0.0,0.0113851992409867,0.0019908781795335,0.9995945124992625,0.0,4.0673627581419566e-05,0.0,0.0,0,0.0,0.0,0,1,1910.0
18,0.0022133687472332,0.0,0.0,0,0,1,0,0,0,0.2459016393442623,0.1498706949632609,0.0365294233529395,0.0320188304906022,2.9386843510160504e-06,3.584310754963374e-06,0.000438596491228,0.000451875282422,0.0004484304932735,0.0,0.0,0.0018975332068311,0.0019908781795335,0.9995794168431256,0.0,4.519291953491062e-06,0.0,0.0,0,0.0,0.0,0,1,29858.0
25,0.0013280212483399,0.0,0.0,0,0,0,0,0,0,0.0546448087431693,0.1560280776651204,0.0019699997185714,0.022943413576144,3.918245801354734e-06,4.779081006617832e-06,0.0008771929824561,0.0009037505648441,0.000896860986547,0.0,0.0,0.0018975332068311,0.0019908781795335,0.9995794168431256,0.0,6.327008734887488e-06,0.0,0.0,0,0.0,0.0,0,1,1012.0
27,0.0017706949977866,0.25,0.0384615384615384,0,0,0,0,0,0,0.180327868852459,0.1877180739706908,0.0022232853966735,0.0235281183002583,4.897807251693417e-06,8.363391761581206e-06,0.0008771929824561,0.0013556258472661,0.0011210762331838,0.0,0.0,0.0037950664136622,0.0019908781795335,0.9995822611106135,0.0,9.942442297680335e-06,0.0,0.0,0,0.0,0.0,0,1,23287.0
29,0.0013280212483399,0.0,0.0,0,0,0,0,0,0,0.0382513661202185,0.1083699355527277,0.0076548560493062,0.026556588922594,6.856930152370784e-06,0.0,0.000438596491228,0.0,0.0002242152466367,0.0,0.0,0.0018975332068311,0.0019908781795335,0.9995794168431256,0.0,5.423150344189275e-06,0.0,0.0,0,0.0,0.0,0,1,3216251.0
