number,directory_num,language_num,file_type,has_test,has_feature,has_bug,has_document,has_improve,has_refactor,subject_length,subject_readability,message_length,message_readability,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,modify_proportion,modify_entropy,test_churn,non_test_churn,reviewer_num,bot_reviewer_num,has_reviewed,comment_num,comment_length,last_comment_mention,merged,time_to_close
2,0.0004679457182966,0.0,0.0,0,0,0,0,0,0,0.282442748091603,0.1233657391887361,0.0014638171027067,0.0352633340432652,3.147326346268845e-05,6.023007890140336e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,8.453323565048324e-05,0.037037037037037,0.0,1,0.0333333333333333,0.000497628489231,0,1,46.0
3,0.00280767430978,0.0,0.0344827586206896,0,0,0,0,0,0,0.2595419847328244,0.1745606053349935,0.0,0.0284074198030445,3.147326346268845e-05,6.023007890140336e-05,0.0009794319294809,0.0009779951100244,0.0009787129924149,0.0,0.0,0.0046620046620046,0.0185447918771143,0.997463662133862,0.0,8.453323565048324e-05,0.0,0.0,0,0.0,0.0,0,1,120.0
4,0.0009358914365933,0.0,0.0,0,0,0,1,0,0,0.3206106870229007,0.20789234232077,0.0022090330822665,0.0442794697822537,0.0015736631731344,0.0,0.0,0.0,0.0,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0027895967764659,0.0,0.0,0,0.0,0.0,0,1,17.0
5,0.0,0.0,0.0,0,0,0,0,0,0,0.1755725190839694,0.1245629998563287,0.0,0.0284074198030445,3.147326346268845e-05,6.023007890140336e-05,0.0009794319294809,0.0009779951100244,0.0009787129924149,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,8.453323565048324e-05,0.0,0.0,0,0.0,0.0,0,1,52.0
6,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.2671755725190839,0.1454911163258464,0.0,0.0284074198030445,0.0010858275894627,0.0006926459073661,0.0058765915768854,0.0063569682151589,0.0061169562025935,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0025641748147313,0.0,0.0,0,0.0,0.0,0,1,35.0
7,0.0,0.0,0.0,0,0,0,0,0,0,0.1679389312977099,0.1190077103586993,0.0009581348308625,0.0337521931826249,1.5736631731344224e-05,3.011503945070168e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,2.817774521682775e-05,0.0,0.0,0,0.0,0.0,0,1,385.0
8,0.0009358914365933,0.5,0.0,0,0,0,0,0,0,0.2061068702290076,0.168861644557253,0.0,0.0284074198030445,0.0001258930538507,0.0,0.0004897159647404,0.0,0.0002446782481037,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0001972442165177,0.0,0.0,0,0.0,0.0,0,1,48.0
9,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.1221374045801526,0.1133087495809587,0.0,0.0284074198030445,1.5736631731344224e-05,3.011503945070168e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,2.817774521682775e-05,0.074074074074074,0.0,1,0.1,0.0057071767358681,0,1,976.0
11,0.0004679457182966,0.0,0.0344827586206896,0,0,0,0,0,0,0.1374045801526717,0.1597624634835496,0.0041253027439916,0.0373627042322086,3.147326346268845e-05,6.023007890140336e-05,0.0009794319294809,0.0009779951100244,0.0009787129924149,0.0,0.0,0.0046620046620046,0.0185447918771143,0.997463662133862,0.0,8.453323565048324e-05,0.0,0.0,0,0.0,0.0,0,1,28245.0
13,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.1984732824427481,0.1060772951486997,0.0,0.0284074198030445,6.29465269253769e-05,0.0,0.0004897159647404,0.0,0.0002446782481037,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,8.453323565048324e-05,0.0,0.0,0,0.0,0.0,0,1,21448.0
14,0.0065512400561534,0.0,0.0344827586206896,0,0,0,0,0,0,0.2366412213740458,0.1745606053349935,0.0055092752774598,0.0335087879433271,0.0005350454788657,0.0004216105523098,0.0058765915768854,0.0048899755501222,0.0053829214582823,0.0,0.0,0.0116550116550116,0.0178028546385142,0.997498820214809,0.0,0.0013807095156245,0.074074074074074,0.0,1,0.0666666666666666,0.0038566207915403,1,1,12332.0
17,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.3053435114503817,0.2134476318183994,0.0,0.0284074198030445,1.5736631731344224e-05,3.011503945070168e-05,0.0004897159647404,0.0004889975550122,0.0004893564962074,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,2.817774521682775e-05,0.037037037037037,0.0,1,0.0333333333333333,0.00020216157375,0,1,10471.0
19,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.4427480916030534,0.1756620851491787,0.0089692066111303,0.0370584476830863,7.868315865672112e-05,6.023007890140336e-05,0.0024485798237022,0.0009779951100244,0.0017127477367262,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0001690664713009,0.074074074074074,0.0,1,0.0666666666666666,0.0063447632376953,1,1,11767.0
20,0.0032756200280767,0.0,0.0344827586206896,0,0,0,0,0,0,0.4580152671755725,0.1997509697811407,0.01008703058047,0.0353343272380604,0.0017152928587165,0.0,0.0024485798237022,0.0,0.0012233912405187,0.0198019801980198,0.0,0.0046620046620046,0.0185447918771143,0.99744466460523,0.0,0.0030431964834173,0.0,0.0,0,0.0,0.0,0,1,84835.0
22,0.0032756200280767,0.0,0.0344827586206896,0,0,0,0,0,0,0.2748091603053435,0.1546381878262535,0.0016235062411838,0.0467135221752314,0.0005193088471343,0.0009937963018731,0.0068560235063663,0.0073349633251833,0.0070956691950085,0.0,0.0,0.0093240093240093,0.0185447918771143,0.9974847201371204,0.0,0.0018315534390938,0.0,0.0,0,0.0,0.0,0,1,4845.0
23,0.0116986429574169,0.0,0.1379310344827586,0,0,0,0,0,0,0.1526717557251908,0.1078971313634404,0.0049237484363771,0.0557905092240443,0.0012904038019702,0.0003312654339577,0.0053868756121449,0.0039119804400977,0.0046488867139711,0.0297029702970297,0.0,0.0139860139860139,0.0129663163989181,0.9975461484351512,0.0,0.0037194623686212,0.037037037037037,0.0,1,0.0333333333333333,0.00020216157375,0,1,6706.0
27,0.0032756200280767,0.0,0.0,0,0,0,0,0,0,0.6183206106870228,0.2137349743786217,0.0229952359407021,0.045516779748684,0.0002360494759701,0.0005721857495633,0.0019588638589618,0.0024449877750611,0.0022021042329336,0.0,0.0,0.0046620046620046,0.0165923254597456,0.9974397130225326,0.0,0.0010425765730226,0.1111111111111111,0.0,1,0.3,0.058689059948682,0,1,37237.0
29,0.0131024801123069,0.5,0.0689655172413793,0,0,0,0,0,0,0.1221374045801526,0.1133087495809587,0.0,0.0284074198030445,0.0011802473798508,0.0002710353550563,0.0058765915768854,0.0068459657701711,0.0063616344506973,0.0099009900990099,0.0,0.0209790209790209,0.0149777859223061,0.9974979266425764,0.0,0.0029023077573332,0.0,0.0,0,0.0,0.0,0,1,2146.0
31,0.00140383715489,0.0,0.0,0,0,0,0,0,0,0.2977099236641221,0.1372539629328097,0.0030607084874777,0.0349692193791138,4.720989519403267e-05,9.034511835210504e-05,0.0009794319294809,0.0009779951100244,0.0009787129924149,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,0.0001408887260841,0.1481481481481481,0.0,1,0.1333333333333333,0.0071689604229842,0,1,16434.0
32,0.0238652316331305,0.0,0.0,0,0,0,0,0,0,0.1297709923664122,0.1202528614529955,0.0132808133500119,0.0424742142574618,0.0001888395807761,9.034511835210504e-05,0.0083251714005876,0.0068459657701711,0.007585025691216,0.0099009900990099,0.0,0.0349650349650349,0.0011137362714495,0.9964636126601826,0.0,0.0069880808137732,0.1481481481481481,0.0,1,0.2666666666666666,0.0448798693725215,0,1,506036.0
33,0.0037435657463734,0.0,0.0,0,0,0,0,0,0,0.2366412213740458,0.1454911163258464,0.0019162696617251,0.0389245545177026,0.0001101564221194,9.034511835210504e-05,0.0034280117531831,0.0024449877750611,0.0029361389772449,0.0,0.0,0.0069930069930069,0.0132452401728279,0.9974613380854552,0.0,0.0003663106878187,0.074074074074074,0.0,1,0.0666666666666666,0.0018972086151932,0,1,55597.0
34,0.0004679457182966,0.0,0.0344827586206896,0,0,0,0,0,0,0.3206106870229007,0.1694363296776974,0.0217177228328853,0.0391578178720296,6.29465269253769e-05,0.0001204601578028,0.0014691478942213,0.0019559902200488,0.0017127477367262,0.0,0.0,0.0046620046620046,0.0185447918771143,0.997457504526154,0.0,0.0001972442165177,0.0,0.0,0,0.0,0.0,0,1,16259.0
36,0.0009358914365933,0.0,0.0,0,0,0,0,0,0,0.2290076335877862,0.1578947368421052,0.0052697415697442,0.0371700084177645,3.147326346268845e-05,6.023007890140336e-05,0.0009794319294809,0.0009779951100244,0.0009787129924149,0.0,0.0,0.0023310023310023,0.0185447918771143,0.99743103418498,0.0,8.453323565048324e-05,0.0,0.0,0,0.0,0.0,0,1,34793.0
