number,directory_num,language_num,file_type,has_test,has_feature,has_bug,has_document,has_improve,has_refactor,subject_length,subject_readability,message_length,message_readability,lines_added,lines_deleted,segs_added,segs_deleted,segs_updated,files_added,files_deleted,files_updated,modify_proportion,modify_entropy,test_churn,non_test_churn,reviewer_num,bot_reviewer_num,has_reviewed,comment_num,comment_length,last_comment_mention,merged,time_to_close
5,0.0020408163265306,0.3333333333333333,0.0,1,0,0,0,0,0,0.2071428571428571,0.1219482158800529,0.0099088285619429,0.0789380990341298,0.0055580323970872,0.0,0.0032258064516129,0.0016207455429497,0.0024252223120452,0.0129032258064516,0.0,0.0017574692442882,0.0541201164685669,0.998572603624935,0.0,0.0034587116299178,0.0588235294117647,0.0,1,0.0333333333333333,0.0001679366878686,0,1,13345.0
6,0.0099489795918367,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.2642857142857143,0.1621255503217265,0.0246188420971984,0.0648115533638605,0.0101649576460098,0.0011520737327188,0.0172043010752688,0.0091842247433819,0.0132039881433575,0.0129032258064516,0.0,0.0246045694200351,0.0538253848969843,0.998633139959974,0.0,0.0069174232598357,0.0588235294117647,0.0,1,0.0333333333333333,0.000146944601885,0,1,9.0
7,0.0033163265306122,0.3333333333333333,0.0,1,0,0,0,0,0,0.1642857142857142,0.120562790554478,0.0064611691396174,0.0714855119482397,0.0046663694456828,0.0060384554266645,0.014516129032258,0.0140464613722312,0.0142818647264888,0.0,0.0,0.0123022847100175,0.0544470241209138,0.9985891085854804,0.0,0.0056924628909064,0.0,0.0,0,0.0,0.0,0,1,3.0
8,0.0025510204081632,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.1285714285714285,0.0817708814383793,0.0111602012411573,0.0652564839361524,0.001842770099569,0.0001589067217543,0.003763440860215,0.0016207455429497,0.002694691457828,0.0,0.0,0.0105448154657293,0.0558569275153929,0.9985856567954634,0.0,0.0011709179997117,0.0,0.0,0,0.0,0.0,0,1,4.0
9,0.0028061224489795,0.3333333333333333,0.0,0,0,0,0,0,0,0.1857142857142857,0.1085557710661617,0.0015322930765891,0.064570549303869,0.0012780502303462,0.0042904814873669,0.0043010752688172,0.0021609940572663,0.0032336297493936,0.0,0.0,0.0035149384885764,0.0558569275153929,0.9985600502448152,0.0,0.0027021184608733,0.0,0.0,0,0.0,0.0,0,1,527.0
11,0.0061224489795918,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.0142857142857142,0.0178565930851882,0.0115943509461909,0.0667581246176377,0.0127210581067023,0.0007150802478944,0.0166666666666666,0.0086439762290653,0.0126650498517919,0.0258064516129032,0.0,0.0123022847100175,0.0488461137734338,0.9986307041334268,0.0,0.0091691886438968,0.0,0.0,0,0.0,0.0,0,1,44.0
12,0.0466836734693877,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.3214285714285714,0.1292447892614143,0.0095002170748525,0.0720231363897591,0.0667261108634269,0.0653901160019068,0.0806451612903225,0.0583468395461912,0.0695230396119644,0.1032258064516129,0.0,0.1054481546572934,0.0514404259887461,0.9986959033671808,0.0,0.0760916558581928,0.0,0.0,0,0.0,0.0,0,1,5.0
13,0.0170918367346938,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.1142857142857142,0.1348788522520858,0.0203284214827489,0.0690940101221705,0.0158418784366176,0.0013109804544732,0.0247311827956989,0.0102647217720151,0.0175154944758825,0.0258064516129032,0.0,0.0439367311072056,0.052867366471581,0.9986644362154752,0.0,0.0107544314742758,0.1176470588235294,0.0,1,0.1666666666666666,0.0372609526208619,1,1,18.0
14,0.0127551020408163,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.0214285714285714,0.0535697792555648,0.0164721505733329,0.0726719934743516,0.0142368851240897,0.0015493405371047,0.0193548387096774,0.0075634792004321,0.0134734572891403,0.0258064516129032,0.0,0.0298769771528998,0.0518520943966663,0.9986553964314372,0.0,0.0100338665513762,0.0,0.0,0,0.0,0.0,0,1,16.0
15,0.0265306122448979,0.3333333333333333,0.0,1,0,0,0,0,0,0.05,0.0431944829284812,0.0,0.0519271055412395,0.018992420864913,0.0100111234705228,0.0295698924731182,0.0183684494867639,0.0239827539746699,0.0387096774193548,0.0,0.0351493848857644,0.0478989116761985,0.9986642850294446,0.0,0.0186986597492434,0.0,0.0,0,0.0,0.0,0,1,23.0
16,0.0283163265306122,0.3333333333333333,0.0344827586206896,1,0,0,0,0,0,0.1928571428571428,0.1219482158800529,0.0072273156779119,0.0698540998498359,0.0385495615990488,0.0027014142698236,0.0376344086021505,0.0140464613722312,0.0258690379951495,0.0967741935483871,0.0,0.0579964850615114,0.0545772156297812,0.9986802515086236,0.0,0.0251477158091944,0.0588235294117647,0.0,1,0.0666666666666666,0.0051850452379452,0,1,73173.0
17,0.0104591836734693,0.6666666666666666,0.0344827586206896,1,0,0,0,0,0,0.15,0.1266278747575505,0.0069208570625941,0.0738213974527724,0.0176846485361866,0.0005164468457015,0.0150537634408602,0.0059427336574824,0.0105092966855295,0.0193548387096774,0.0,0.0210896309314587,0.0556737556399627,0.998614628338976,0.0,0.0109706009511457,0.0,0.0,0,0.0,0.0,0,1,54.0
18,0.0061224489795918,0.3333333333333333,0.0689655172413793,1,0,0,0,0,0,0.3357142857142857,0.1039684738770358,0.0052608728962892,0.0666283532007193,0.0045474810521622,3.972668043858255e-05,0.0026881720430107,0.0005402485143165,0.0016168148746968,0.0258064516129032,0.0,0.0070298769771528,0.0558569275153929,0.9986006272578616,0.0,0.0027561608300907,0.0,0.0,0,0.0,0.0,0,1,5.0
20,0.0048469387755102,0.3333333333333333,0.0,1,0,0,0,0,0,0.1214285714285714,0.1027061974692897,0.0338126005567331,0.0964943178658163,0.0071927478079952,0.002184967424122,0.0086021505376344,0.0081037277147487,0.008353543519267,0.0064516129032258,0.0,0.015817223198594,0.0558569275153929,0.998579674723846,0.0,0.0053321804294566,0.0,0.0,0,0.0,0.0,0,1,803.0
